,breed name,Dog Breed Group,Height,Height Avg.,Weight,Weight Avg.,Life Span,Life Span Avg.,Adaptability,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,All Around Friendliness,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Health And Grooming Needs,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Trainability,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Physical Needs,Energy Level,Intensity,Exercise Needs,Potential For Playfulness
354,Soft Coated Wheaten Terrier,Terrier Dogs,17 to 19 inches tall at the shoulder,18.0,30 to 40 pounds,35.0,12 to 15 years,13.5,3,5,4,4,2,2,3,5,5,5,5,5,3,2,1.0,3,4,3,3,3,4,4,2,3.0,3.0,4,4,4,3,4,5
355,Spanish Mastiff,Working Dogs,26 to 35 inches,30.5,140 to 220 pounds,180.0,10 to 12 years,11.0,3,2,1,3,3,4,3,3,4,4,2,2,3,3,2.0,3,4,3,5,2,2,4,2,1.0,1.0,2,3,3,2,3,4
356,Spinone Italiano,Sporting Dogs,22 to 28 inches,25.0,61 to 86 pounds,73.5,10 to 14 years,12.0,4,4,4,5,2,4,3,5,5,5,5,5,3,3,4.0,2,3,2,4,3,4,4,2,4.0,2.0,2,4,4,2,4,4
357,Springador,Mixed Breed Dogs,18 to 24 inches,21.0,50 to 90 pounds,70.0,10 to 14 years,12.0,3,2,3,4,1,4,4,3,4,3,3,3,3,1,2.0,4,4,4,4,4,5,5,2,4.0,3.0,4,4,4,3,4,4
358,Stabyhoun,Sporting Dogs,19 to 20 inches tall at the shoulder,19.5,45 to 50 pounds,47.5,13 to 14 years,13.5,3,2,3,4,3,2,2,4,5,5,4,3,3,3,1.0,3,5,3,3,4,5,5,1,4.0,3.0,3,4,3,4,4,5
359,Staffordshire Bull Terrier,Terrier Dogs,14 to 16 inches tall at the shoulder,15.0,24 to 38 pounds,31.0,12 to 14 years,13.0,2,3,1,4,2,3,1,4,5,5,1,5,3,3,3.0,5,3,4,2,3,2,3,2,2.0,3.0,4,4,3,3,4,5
360,Staffy Bull Bullmastiff,Hybrid Dogs,14 to 27 inches,20.5,38 to 130 pounds,84.0,12 to 16 years,14.0,2,4,1,3,2,3,1,3,5,4,1,1,3,3,2.0,4,3,2,4,2,1,3,3,2.0,1.0,2,2,1,4,1,3
361,Standard Schnauzer,Working Dogs,"1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder",3.0,30 to 50 pounds,40.0,13 to 16 years,14.5,3,4,2,4,2,4,4,3,4,4,3,2,2,1,1.0,2,5,1,3,4,3,5,3,5.0,2.0,5,5,5,3,5,5
362,Sussex Spaniel,Sporting Dogs,"1 foot, 1 inch to 1 foot, 3 inches tall at the shoulder",1.0,35 to 45 pounds,40.0,11 to 14 years,12.5,4,5,5,5,1,5,5,5,5,5,5,5,3,3,1.0,4,4,5,2,3,3,5,2,1.0,4.0,1,2,2,1,2,4
363,Swedish Lapphund,Herding Dogs,16 to 20 inches ,18.0,30 to 45 pounds ,37.5,12 to 14 years,13.0,3,2,2,4,2,5,2,4,4,4,4,4,3,4,2.0,2,3,2,3,4,4,5,4,2.0,4.0,2,4,3,4,3,4
364,Swedish Vallhund,Herding Dogs,"11 inches to 1 foot, 1 inch tall at the shoulder",6.0,22 to 35 pounds,28.5,12 to 15 years,13.5,3,3,1,3,3,4,3,4,5,4,3,5,4,4,1.0,5,4,4,3,3,5,5,2,4.0,1.0,3,5,5,3,5,5
365,Taiwan Dog,Hound Dogs,16 to 21 inches,18.5,25 to 40 pounds,32.5,10 to 13 years,11.5,3,3,2,3,2,4,4,3,4,3,4,2,3,3,3.0,4,4,3,3,4,4,4,3,4.0,3.0,4,4,4,3,4,4
366,Terripoo,Mixed Breed Dogs,9 to 15 inches,12.0,10 to 14 pounds,12.0,10 to 15 years,12.5,3,5,5,2,1,3,4,4,5,4,3,3,2,1,1.0,3,3,3,1,4,4,5,2,4.0,3.0,3,4,5,3,4,5
367,Texas Heeler,Mixed Breed Dogs,16 to 22 inches,19.0,25 to 50 pounds,37.5,12 to 15 years,13.5,3,2,3,3,3,4,3,3,4,3,3,3,3,4,2.0,3,3,5,3,4,3,5,4,3.0,2.0,4,4,5,3,5,4
368,Thai Ridgeback,Companion Dogs,20 to 24 inches,22.0,35 to 75 pounds,55.0,10 to 13 years,11.5,3,2,2,2,2,4,3,3,3,2,3,3,3,3,2.0,4,4,3,3,3,2,4,2,4.0,2.0,4,4,4,4,4,3
369,Tibetan Mastiff,Working Dogs,"2 feet to 2 feet, 2 inches tall at the shoulder",2.0,75 to 160 pounds,117.5,10 to 14 years,12.0,3,1,1,5,1,5,2,4,5,5,5,2,3,2,2.0,4,3,4,5,3,1,5,5,3.0,2.0,3,3,4,2,2,5
370,Tibetan Spaniel,Companion Dogs,From 10 inches tall at the shoulder,10.0,9 to 15 pounds,12.0,12 to 15 years,13.5,3,5,4,5,1,1,2,4,5,5,4,3,3,3,1.0,4,5,3,1,4,4,4,3,3.0,4.0,3,4,3,3,4,4
371,Tibetan Terrier,Companion Dogs,14 to 16 inches tall at the shoulder,15.0,20 to 24 pounds,22.0,12 to 15 years,13.5,4,5,3,4,1,4,4,4,5,5,4,3,2,1,1.0,1,5,3,2,3,4,4,2,2.0,4.0,3,5,5,4,5,5
372,Toy Fox Terrier,Companion Dogs,8 to 11 inches at the shoulder,9.5,3 to 7 pounds,5.0,13 to 14 years,13.5,3,5,3,4,1,2,3,4,5,4,3,3,3,4,1.0,5,5,2,1,4,3,4,2,5.0,4.0,4,5,5,4,5,5
373,Transylvanian Hound,Hound Dogs,18 to 25 inches,21.5,55 to 77 pounds,66.0,10 to 12 years,11.0,3,3,2,2,3,3,3,3,4,3,3,2,3,3,3.0,4,4,3,3,3,2,4,3,4.0,3.0,4,4,4,4,5,4
